,stationName,uniqueId,lat,lon
258,Aviation / Imperial Station,80305S,33.929617,-118.37655
259,Aviation / Imperial Station,80305S,33.929633,-118.377633
262,Hawthorne / Lennox Station,80306S,33.933567,-118.352317
263,Hawthorne / Lennox Station,80306S,33.933579,-118.352886
266,Crenshaw Station,80307S,33.925233,-118.3261
267,Crenshaw Station,80307S,33.925183,-118.326967
270,Vermont / Athens Station,80308S,33.928683,-118.291487
271,Vermont / Athens Station,80308S,33.928683,-118.292017
274,Harbor Freeway Station,80309S,33.9287,-118.2807
275,Harbor Freeway Station,80309S,33.9287,-118.28155
278,Avalon Station,80310S,33.927467,-118.26485
279,Avalon Station,80310S,33.927467,-118.26555
281,Willowbrook - Rosa Parks Station,80112S,33.928233,-118.237517
282,Willowbrook - Rosa Parks Station,80112S,33.9283,-118.2385
283,Willowbrook - Rosa Parks Station,80112S,33.928333,-118.239417
284,Willowbrook - Rosa Parks Station,80112S,33.92854,-118.23779
287,Lynwood Station,80312S,33.924717,-118.2095
288,Lynwood Station,80312S,33.9251,-118.2104
291,Lakewood Blvd Station,80313S,33.913046,-118.140432
292,Lakewood Blvd Station,80313S,33.913033,-118.140867
295,Norwalk Station,80314S,33.913867,-118.104
296,Norwalk Station,80314S,33.913583,-118.105567
299,Atlantic Station,80401S,34.03337,-118.15295
300,Atlantic Station,80401S,34.03342,-118.15531
303,East LA Civic Center Station,80402S,34.03339,-118.16026
304,East LA Civic Center Station,80402S,34.03338,-118.1619
307,Maravilla Station,80403S,34.0333,-118.16891
308,Maravilla Station,80403S,34.03333,-118.1671
311,Indiana Station,80404S,34.0336,-118.19218
312,Indiana Station,80404S,34.03491,-118.19218
315,Soto Station,80405S,34.04364,-118.21019
318,Mariachi Plaza / Boyle Heights Station,80406S,34.04744,-118.21924
321,Pico / Aliso Station,80407S,34.04763,-118.22541
323,Union Station,80214S,34.05584,-118.2348
326,Chinatown Station,80410S,34.06399,-118.23573
327,Chinatown Station,80410S,34.06379,-118.23605
328,Chinatown Station,80410S,34.0634,-118.23596
331,Lincoln Heights / Cypress Park Station,80411S,34.08113,-118.2199
332,Lincoln Heights / Cypress Park Station,80411S,34.08146,-118.22015
335,Heritage Square / Arroyo Station,80412S,34.08749,-118.21273
336,Heritage Square / Arroyo Station,80412S,34.08771,-118.21284
339,Southwest Museum Station,80413S,34.09833,-118.20589
340,Southwest Museum Station,80413S,34.09864,-118.20622
341,Southwest Museum Station,80413S,34.09882,-118.20598
344,Highland Park Station,80414S,34.1107,-118.19356
345,Highland Park Station,80414S,34.11159,-118.19175
348,South Pasadena Station,80415S,34.1148,-118.1582
349,South Pasadena Station,80415S,34.1148,-118.1584
350,South Pasadena Station,80415S,34.1155,-118.1574
351,South Pasadena Station,80415S,34.11564,-118.1575
354,Fillmore Station,80416S,34.13291,-118.1481
357,Del Mar Station,80417S,34.14143,-118.14829
358,Del Mar Station,80417S,34.14143,-118.14812
361,Memorial Park Station,80418S,34.14769,-118.14776
362,Memorial Park Station,80418S,34.14774,-118.1479
365,Lake Station,80419S,34.15178,-118.13205
366,Lake Station,80419S,34.1518,-118.13261
369,Allen Station,80420S,34.15242,-118.11352
372,Sierra Madre Villa Station,80421S,34.1487,-118.08163
375,Arcadia Station,80422S,34.14249,-118.0285
376,Arcadia Station,80422S,34.14239,-118.02859
379,Monrovia Station,80423S,34.13298,-118.00265
382,Duarte / City of Hope Station,80424S,34.13259,-117.96676
383,Duarte / City of Hope Station,80424S,34.13245,-117.96683
384,Duarte / City of Hope Station,80424S,34.13247,-117.96878
385,Duarte / City of Hope Station,80424S,34.13246,-117.96844
388,Irwindale Station,80425S,34.12877,-117.93348
389,Irwindale Station,80425S,34.12884,-117.93329
392,Azusa Downtown Station,80426S,34.13571,-117.90741
393,Azusa Downtown Station,80426S,34.13544,-117.90741
396,APU / Citrus College Station,80427S,34.13694,-117.89085
399,Aviation / Century Station,80701S,33.94600439188952,-118.37871239248264
400,Aviation / Century Station,80701S,33.945834428884865,-118.37889869842137
403,LAX / Metro Transit Center,80702S,33.95002,-118.37816
404,LAX / Metro Transit Center,80702S,33.95002,-118.37813
405,LAX / Metro Transit Center,80702S,33.95002,-118.37818
406,LAX / Metro Transit Center,80702S,33.95004,-118.37816
407,LAX / Metro Transit Center,80702S,33.95062,-118.37816
408,LAX / Metro Transit Center,80702S,33.95062,-118.37813
409,LAX / Metro Transit Center,80702S,33.95062,-118.37818
410,LAX / Metro Transit Center,80702S,33.95064,-118.37816
411,LAX / Metro Transit Center,80702S,33.94942,-118.37821
412,LAX / Metro Transit Center,80702S,33.94944,-118.37821
413,LAX / Metro Transit Center,80702S,33.94935,-118.37831
416,Westchester / Veterans Station,80703S,33.96224,-118.37375
417,Westchester / Veterans Station,80703S,33.96238,-118.37372
420,Downtown Inglewood Station,80704S,33.96759,-118.35084
421,Downtown Inglewood Station,80704S,33.96686,-118.35158
424,Fairview Heights Station,80705S,33.97559,-118.33542
425,Fairview Heights Station,80705S,33.97502,-118.33679
428,Hyde Park Station,80706S,33.9889,-118.33083
429,Hyde Park Station,80706S,33.98729,-118.33085
432,Leimert Park Station,80707S,34.0044537631794,-118.33265053811144
433,Leimert Park Station,80707S,34.00457,-118.33274
436,Martin Luther King Jr Station,80708S,34.00984,-118.33538
437,Martin Luther King Jr Station,80708S,34.01017,-118.33533
440,Expo / Crenshaw K-Line Station,80709S,34.02173,-118.33491
441,Expo / Crenshaw K-Line Station,80709S,34.02198,-118.33493
