stationName,uniqueId,lat,lon
Abbesses,22059,48.88248016274083,2.3373144088037865
Abbesses,22059,48.882285642979824,2.3379168705488924
Abbesses,22059,48.88441153205637,2.3385443989058055
Abbesses,463116,48.88248016274083,2.3373144088037865
Abbesses,463116,48.882285642979824,2.3379168705488924
Abbesses,463116,48.88441153205637,2.3385443989058055
Ablon,41311,48.72517145799327,2.4193165275185065
Ablon,41311,48.725476460322376,2.419149997118622
Ablon,41311,48.72586875452289,2.4202876247997023
Ablon,41311,48.72631838845894,2.4202690399321876
Ablon,471630,48.72517145799327,2.4193165275185065
Ablon,471630,48.725476460322376,2.419149997118622
Ablon,471630,48.72586875452289,2.4202876247997023
Ablon,471630,48.72631838845894,2.4202690399321876
Ablon,472782,48.72517145799327,2.4193165275185065
Ablon,472782,48.725476460322376,2.419149997118622
Ablon,472782,48.72586875452289,2.4202876247997023
Ablon,472782,48.72631838845894,2.4202690399321876
Achères Grand Cormier,411358,48.955218127758634,2.091942502239468
Achères Grand Cormier,472019,48.955218127758634,2.091942502239468
Achères Grand Cormier,472135,48.955218127758634,2.091942502239468
Achères Grand Cormier,472259,48.955218127758634,2.091942502239468
Achères Grand Cormier,472507,48.955218127758634,2.091942502239468
Achères Ville,41528,48.97011996955561,2.0778724096974592
Achères Ville,41528,48.97006244837708,2.077409006043657
Achères Ville,471010,48.97011996955561,2.0778724096974592
Achères Ville,471010,48.97006244837708,2.077409006043657
Achères Ville,473017,48.97011996955561,2.0778724096974592
Achères Ville,473017,48.97006244837708,2.077409006043657
Aimé Césaire,483900,48.90773226741607,2.3773889253420895
Aimé Césaire,483900,48.90771442420254,2.3774164241009177
Aimé Césaire,483900,48.90765020010696,2.3771716247032058
Aimé Césaire,483900,48.90868037830392,2.37812794427728
Aimé Césaire,483903,48.90773226741607,2.3773889253420895
Aimé Césaire,483903,48.90771442420254,2.3774164241009177
Aimé Césaire,483903,48.90765020010696,2.3771716247032058
Aimé Césaire,483903,48.90868037830392,2.37812794427728
Alexandre Dumas,22122,48.85629684736279,2.3943585869127344
Alexandre Dumas,463117,48.85629684736279,2.3943585869127344
Alma - Marceau,21935,48.86489313589413,2.3016463145113195
Alma - Marceau,21935,48.86439327966053,2.300753341138485
Alma - Marceau,21935,48.86502126160271,2.3004859117040826
Alma - Marceau,21935,48.86252516542477,2.301187343130926
Alma - Marceau,21935,48.862695949190154,2.3011714213033745
Alma - Marceau,463052,48.86489313589413,2.3016463145113195
Alma - Marceau,463052,48.86439327966053,2.300753341138485
Alma - Marceau,463052,48.86502126160271,2.3004859117040826
Alma - Marceau,463052,48.86252516542477,2.301187343130926
Alma - Marceau,463052,48.862695949190154,2.3011714213033745
Alésia,22154,48.82813880211952,2.327216635764887
Alésia,22154,48.828543338828055,2.3271841711089203
Alésia,22154,48.82837001682054,2.3267505049731647
Alésia,22154,48.82826917515694,2.326411258681911
Alésia,22154,48.82812551553079,2.326453980559378
Alésia,22154,48.828362633624934,2.3270366616211153
Alésia,463118,48.82813880211952,2.327216635764887
Alésia,463118,48.828543338828055,2.3271841711089203
Alésia,463118,48.82837001682054,2.3267505049731647
Alésia,463118,48.82826917515694,2.326411258681911
Alésia,463118,48.82812551553079,2.326453980559378
Alésia,463118,48.828362633624934,2.3270366616211153
Anatole France,22036,48.892189609563005,2.2851455946499937
Anatole France,22036,48.89206167805362,2.2848063837470325
Anatole France,22036,48.89217186869268,2.285186754398855
Anatole France,463119,48.892189609563005,2.2851455946499937
Anatole France,463119,48.89206167805362,2.2848063837470325
Anatole France,463119,48.89217186869268,2.285186754398855
Andrésy,41149,48.974598952038065,2.0491463556639697
Andrésy,41149,48.97555769332738,2.048705324836983
Andrésy,471059,48.974598952038065,2.0491463556639697
Andrésy,471059,48.97555769332738,2.048705324836983
Andrésy,472150,48.974598952038065,2.0491463556639697
Andrésy,472150,48.97555769332738,2.048705324836983
Angerville,472379,48.31158437771156,2.0038993112185106
Angerville,472379,48.31164372046446,2.003466544372648
Angerville,472965,48.31158437771156,2.0038993112185106
Angerville,472965,48.31164372046446,2.003466544372648
Antony,412829,48.75489223640231,2.3007780649015146
Antony,412829,48.75463102184777,2.3007135493786435
Antony,412829,48.75500191213591,2.301075859085368
Antony,412829,48.75557901883387,2.3013265906056155
Antony,412829,48.75483151011008,2.3011597571556917
Antony,412829,48.754992042688095,2.3009263597220393
Antony,412829,48.7552187948512,2.301249793657801
Antony,462400,48.75489223640231,2.3007780649015146
Antony,462400,48.75463102184777,2.3007135493786435
Antony,462400,48.75500191213591,2.301075859085368
Antony,462400,48.75557901883387,2.3013265906056155
Antony,462400,48.75483151011008,2.3011597571556917
Antony,462400,48.754992042688095,2.3009263597220393
Antony,462400,48.7552187948512,2.301249793657801
Antony,463014,48.75489223640231,2.3007780649015146
Antony,463014,48.75463102184777,2.3007135493786435
Antony,463014,48.75500191213591,2.301075859085368
Antony,463014,48.75557901883387,2.3013265906056155
Antony,463014,48.75483151011008,2.3011597571556917
Antony,463014,48.754992042688095,2.3009263597220393
Antony,463014,48.7552187948512,2.301249793657801
Antony,473980,48.75489223640231,2.3007780649015146
Antony,473980,48.75463102184777,2.3007135493786435
Antony,473980,48.75500191213591,2.301075859085368
Antony,473980,48.75557901883387,2.3013265906056155
Antony,473980,48.75483151011008,2.3011597571556917
Antony,473980,48.754992042688095,2.3009263597220393
Antony,473980,48.7552187948512,2.301249793657801
Antony,473996,48.75489223640231,2.3007780649015146
Antony,473996,48.75463102184777,2.3007135493786435
Antony,473996,48.75500191213591,2.301075859085368
